"","Acc_Index","Vehicle_Reference","Casualty_Reference","Casualty_Class","Sex_of_Casualty","Age_Band_of_Casualty","Casualty_Severity","Pedestrian_Location","Pedestrian_Movement","Car_Passenger","Bus_or_Coach_Passenger","Pedestrian_Road_Maintenance_Worker","Casualty_Type","Casualty_Home_Area_Type"
"20696","201001TW60414",3,3,1,2,8,3,0,0,0,0,-1,9,1
"20697","201001TW60415",1,1,3,2,4,2,5,1,0,0,-1,0,1
"20698","201001TW60416",1,1,3,1,5,3,1,1,0,0,-1,0,1
"20699","201001TW60417",1,1,1,2,9,3,0,0,0,0,-1,9,1
"20700","201001TW60418",1,1,1,1,6,3,0,0,0,0,-1,9,-1
"20701","201001TW60418",2,2,1,1,6,3,0,0,0,0,-1,9,1
"20702","201001TW60419",1,1,1,2,10,3,0,0,0,0,-1,9,1
"20703","201001TW60421",1,1,1,2,6,3,0,0,0,0,-1,1,1
"20704","201001TW60422",2,1,1,1,6,3,0,0,0,0,-1,1,1
"20705","201001TW60423",2,1,1,1,8,3,0,0,0,0,-1,3,1
"20706","201001TW60426",1,1,1,2,8,2,0,0,0,0,-1,1,1
"20707","201001TW60427",1,1,1,1,5,3,0,0,0,0,-1,9,1
"20708","201001TW60427",1,2,2,2,6,3,0,0,2,0,-1,9,1
"20709","201001TW60436",1,1,1,2,8,3,0,0,0,0,-1,9,-1
"20710","201001TW60436",1,2,2,2,5,3,0,0,1,0,-1,9,-1
"20711","201001TW60437",1,1,1,2,7,3,0,0,0,0,-1,9,1
"20712","201001TW69004",1,1,1,2,5,3,0,0,0,0,-1,9,1
"20713","201001TW69078",2,1,1,2,6,3,0,0,0,0,-1,9,1
"20714","201001TW69079",1,1,1,2,-1,3,0,0,0,0,-1,9,1
"20715","201001TW69080",1,1,3,2,4,3,5,4,0,0,-1,0,1
"20716","201001TW69081",2,1,1,1,8,3,0,0,0,0,-1,1,1
"20764","201001TX20049",1,1,1,2,8,3,0,0,0,0,-1,9,1
"21008","201001TX20271",1,1,3,1,6,3,1,1,0,0,-1,0,1
"21244","201001TX20495",1,1,3,2,7,3,1,2,0,0,-1,0,1
"21358","201001TX20591",1,1,3,1,3,3,4,2,0,0,-1,0,1
"21515","201001TX20751",2,1,1,1,7,3,0,0,0,0,-1,9,1
"21516","201001TX20751",2,2,2,1,7,3,0,0,2,0,-1,9,1
"21517","201001TX20751",2,3,2,1,-1,3,0,0,1,0,-1,9,1
"21614","201001TX20836",1,1,1,1,7,3,0,0,0,0,-1,3,1
"22511","201001VW49036",1,1,1,1,6,2,0,0,0,0,-1,3,-1
"22588","201001WW50085",1,1,3,2,5,3,1,1,0,0,-1,0,1
"22700","201001WW50209",1,1,1,1,8,3,0,0,0,0,-1,9,1
"22701","201001WW50209",1,2,2,2,-1,3,0,0,1,0,-1,9,-1
"22711","201001WW50221",2,1,1,1,5,3,0,0,0,0,-1,3,1
"22717","201001WW50231",1,1,1,1,6,3,0,0,0,0,-1,1,1
"22753","201001WW50274",1,1,1,1,8,2,0,0,0,0,-1,5,1
"22754","201001WW50274",2,2,1,1,5,2,0,0,0,0,-1,1,1
"22765","201001WW50286",2,1,1,1,6,3,0,0,0,0,-1,9,1
"22969","201001WW50499",2,1,1,2,7,3,0,0,0,0,-1,1,1
"23073","201001WW50607",1,1,1,2,6,3,0,0,0,0,-1,1,3
"23436","201001WW50967",1,1,3,2,5,3,5,1,0,0,-1,0,1
"25033","201001XH30513",2,1,1,1,7,3,0,0,0,0,-1,9,-1
"25214","201001XH30680",1,1,1,1,5,3,0,0,0,0,-1,9,1
"25215","201001XH30680",2,2,1,2,7,3,0,0,0,0,-1,9,1
"27408","201001ZD30000",1,1,3,1,4,3,1,1,0,0,-1,0,1
"27409","201001ZD30001",1,1,2,2,4,3,0,0,2,0,-1,9,1
"27410","201001ZD30001",1,2,2,2,4,3,0,0,2,0,-1,9,1
"27411","201001ZD30002",2,1,2,2,4,3,0,0,1,0,-1,9,1
"27412","201001ZD30003",2,1,1,2,8,3,0,0,0,0,-1,1,1
"27413","201001ZD30004",2,1,1,1,-1,3,0,0,0,0,-1,9,1
"27414","201001ZD30007",2,1,1,1,4,2,0,0,0,0,-1,3,1
"27415","201001ZD30008",1,1,1,1,7,3,0,0,0,0,-1,9,1
"27416","201001ZD30008",1,2,2,1,6,3,0,0,2,0,-1,9,1
"27417","201001ZD30009",2,1,2,1,3,3,0,0,2,0,-1,9,1
"27418","201001ZD30012",2,1,1,1,5,3,0,0,0,0,-1,1,1
"27419","201001ZD30015",1,1,1,1,9,3,0,0,0,0,-1,9,1
"27420","201001ZD30018",1,1,2,1,5,3,0,0,1,0,-1,9,1
"27421","201001ZD30018",2,2,2,2,1,3,0,0,2,0,-1,9,-1
"27422","201001ZD30019",2,1,2,2,7,3,0,0,2,0,-1,8,1
"27423","201001ZD30020",1,1,2,2,7,3,0,0,0,3,-1,11,1
"27424","201001ZD30021",1,1,1,1,6,2,0,0,0,0,-1,5,1
"27425","201001ZD30022",1,1,3,2,9,3,1,1,0,0,-1,0,-1
"27426","201001ZD30023",1,1,3,2,5,3,4,1,0,0,-1,0,1
"27427","201001ZD30024",1,1,1,1,6,3,0,0,0,0,-1,3,-1
"27428","201001ZD30025",1,1,3,1,3,3,1,3,0,0,-1,0,1
"27429","201001ZD30027",1,1,3,1,11,3,5,1,0,0,-1,0,1
"27430","201001ZD30028",1,1,1,1,8,3,0,0,0,0,-1,9,1
"27431","201001ZD30029",2,1,1,1,5,3,0,0,0,0,-1,9,1
"27432","201001ZD30030",1,1,3,2,9,3,10,9,0,0,-1,0,1
"27433","201001ZD30031",2,1,1,2,4,3,0,0,0,0,-1,2,1
"27434","201001ZD30032",1,1,1,2,8,3,0,0,0,0,-1,9,1
"27435","201001ZD30033",1,1,1,2,7,3,0,0,0,0,-1,9,1
"27436","201001ZD30034",1,1,3,2,7,3,10,9,0,0,-1,0,1
"27437","201001ZD30035",1,1,2,2,9,3,0,0,1,0,-1,9,1
"27438","201001ZD30037",1,1,2,2,8,3,0,0,0,4,-1,11,1
"27439","201001ZD30039",1,1,1,1,7,3,0,0,0,0,-1,9,1
"27440","201001ZD30041",1,1,1,2,7,3,0,0,0,0,-1,9,1
"27441","201001ZD30041",1,2,2,1,5,3,0,0,1,0,-1,9,1
"27442","201001ZD30042",1,1,3,1,5,2,4,3,0,0,-1,0,1
"27443","201001ZD30043",1,1,1,1,7,3,0,0,0,0,-1,9,1
"27444","201001ZD30044",2,1,1,1,6,3,0,0,0,0,-1,1,1
"27445","201001ZD30046",1,1,1,2,-1,3,0,0,0,0,-1,9,1
"27446","201001ZD30047",1,1,3,2,4,3,5,1,0,0,-1,0,1
"27447","201001ZD30048",1,1,3,2,5,3,5,1,0,0,-1,0,1
"27448","201001ZD30049",2,1,1,1,9,3,0,0,0,0,-1,1,1
"27449","201001ZD30051",1,1,1,1,4,3,0,0,0,0,-1,9,1
"27450","201001ZD30052",2,1,1,1,9,3,0,0,0,0,-1,9,-1
"27451","201001ZD30053",2,1,1,1,7,3,0,0,0,0,-1,4,1
"27452","201001ZD30055",1,1,1,1,7,3,0,0,0,0,-1,1,-1
"27453","201001ZD30056",1,1,2,2,7,3,0,0,1,0,-1,9,1
"27454","201001ZD30057",2,1,1,1,6,3,0,0,0,0,-1,1,1
"27455","201001ZD30059",1,1,1,2,6,2,0,0,0,0,-1,9,1
"27456","201001ZD30060",2,1,1,1,9,3,0,0,0,0,-1,9,1
"27457","201001ZD30061",1,1,1,1,4,3,0,0,0,0,-1,3,1
"27458","201001ZD30062",1,1,1,2,6,2,0,0,0,0,-1,9,1
"27459","201001ZD30062",2,2,1,1,6,3,0,0,0,0,-1,9,2
"27460","201001ZD30062",2,3,2,1,6,3,0,0,1,0,-1,9,1
"27461","201001ZD30063",1,1,3,2,11,2,5,3,0,0,-1,0,1
"27462","201001ZD30064",1,1,3,2,3,3,5,3,0,0,-1,0,1
"27463","201001ZD30065",1,1,1,2,8,3,0,0,0,0,-1,9,1
"27464","201001ZD30066",2,1,2,2,7,3,0,0,0,4,-1,11,1
"27465","201001ZD30067",1,1,2,2,8,2,0,0,0,2,-1,11,1
"27466","201001ZD30069",1,1,1,1,3,3,0,0,0,0,-1,1,1
"27467","201001ZD30070",1,1,3,1,7,3,6,9,0,0,-1,0,1
"27468","201001ZD30074",1,1,3,2,3,3,5,1,0,0,-1,0,1
"27469","201001ZD30075",1,1,3,1,3,3,5,1,0,0,-1,0,1
"27470","201001ZD30076",1,1,1,2,4,3,0,0,0,0,-1,9,1
"27471","201001ZD30076",2,2,1,1,8,3,0,0,0,0,-1,9,1
"27472","201001ZD30077",1,1,1,1,4,3,0,0,0,0,-1,9,1
"27473","201001ZD30077",1,3,2,1,-1,3,0,0,1,0,-1,9,-1
"27474","201001ZD30077",1,4,2,2,4,3,0,0,2,0,-1,9,-1
"27475","201001ZD30077",2,2,1,2,9,3,0,0,0,0,-1,9,1
"27476","201001ZD30078",1,1,1,1,8,3,0,0,0,0,-1,9,1
"27477","201001ZD30079",1,1,1,2,5,3,0,0,0,0,-1,9,1
"27478","201001ZD30079",1,3,2,2,6,3,0,0,1,0,-1,9,1
"27479","201001ZD30079",2,2,1,2,5,3,0,0,0,0,-1,9,1
"27480","201001ZD30079",2,4,2,1,6,3,0,0,1,0,-1,9,1
"27481","201001ZD30080",1,1,1,2,4,3,0,0,0,0,-1,9,1
"27482","201001ZD30080",1,2,2,1,4,3,0,0,1,0,-1,9,1
"27483","201001ZD30080",1,3,2,1,4,3,0,0,2,0,-1,9,1
"27484","201001ZD30081",1,1,3,1,7,3,5,3,0,0,-1,0,1
"27485","201001ZD30082",2,1,1,1,4,3,0,0,0,0,-1,1,-1
"27486","201001ZD30083",1,1,1,1,-1,3,0,0,0,0,-1,9,-1
"27487","201001ZD30083",1,2,2,2,-1,3,0,0,1,0,-1,9,-1
"27488","201001ZD30084",1,1,1,2,7,3,0,0,0,0,-1,9,1
"27489","201001ZD30086",2,1,3,2,5,3,10,9,0,0,-1,0,1
"27490","201001ZD30088",1,1,1,1,6,3,0,0,0,0,-1,9,1
"27491","201001ZD30089",2,1,1,2,6,3,0,0,0,0,-1,3,1
"27492","201001ZD30090",1,1,3,2,10,3,5,1,0,0,-1,0,1
"27493","201001ZD30091",1,1,3,2,-1,2,5,1,0,0,-1,0,-1
"27494","201001ZD30092",1,1,3,2,5,3,4,4,0,0,-1,0,-1
"27495","201001ZD30093",2,1,1,1,4,3,0,0,0,0,-1,3,1
"27496","201001ZD30094",2,1,1,1,7,3,0,0,0,0,-1,9,1
"27497","201001ZD30095",1,1,3,1,11,2,4,9,0,0,-1,0,1
"27498","201001ZD30096",1,1,2,2,9,3,0,0,0,4,-1,11,-1
"27499","201001ZD30097",1,1,1,2,6,3,0,0,0,0,-1,9,1
"27500","201001ZD30097",2,2,1,2,-1,3,0,0,0,0,-1,9,-1
"27501","201001ZD30098",1,1,3,1,6,3,10,9,0,0,-1,0,-1
"27502","201001ZD30099",1,1,1,1,8,3,0,0,0,0,-1,9,1
"27503","201001ZD30100",2,1,1,1,5,3,0,0,0,0,-1,4,-1
"27504","201001ZD30102",1,1,1,1,6,3,0,0,0,0,-1,19,1
"27505","201001ZD30102",1,2,2,1,9,3,0,0,0,0,-1,19,-1
"27506","201001ZD30103",1,1,1,1,5,3,0,0,0,0,-1,9,1
"27507","201001ZD30103",2,2,1,1,5,3,0,0,0,0,-1,9,1
"27508","201001ZD30104",1,1,3,1,7,3,6,9,0,0,-1,0,1
"27509","201001ZD30106",1,1,1,2,7,3,0,0,0,0,-1,9,1
"27510","201001ZD30108",2,1,1,1,5,3,0,0,0,0,-1,9,-1
"27511","201001ZD30109",2,1,1,1,6,3,0,0,0,0,-1,9,1
"27512","201001ZD30113",1,1,1,1,6,3,0,0,0,0,-1,9,1
"27513","201001ZD30113",1,2,2,2,-1,3,0,0,1,0,-1,9,-1
"27514","201001ZD30114",1,1,3,2,3,3,4,1,0,0,-1,0,-1
"27515","201001ZD30115",1,1,1,1,6,3,0,0,0,0,-1,9,1
"27516","201001ZD30116",1,1,3,2,3,3,5,4,0,0,-1,0,-1
"27517","201001ZD30117",1,1,1,2,7,3,0,0,0,0,-1,9,1
"27518","201001ZD30118",2,1,1,1,6,3,0,0,0,0,-1,3,1
