"","Acc_Index","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location.Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","X1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_.CC.","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type"
"1298","201001CP00058",2,8,0,18,0,8,0,0,0,0,3,1,1,1,7,1998,1,13,2,1
"1299","201001CP00059",1,20,0,18,0,8,0,0,0,0,4,1,15,1,6,-1,-1,-1,5,1
"1300","201001CP00060",1,5,0,18,2,8,0,0,0,0,1,1,1,1,7,647,1,7,2,1
"1301","201001CP00060",2,19,0,9,0,5,0,0,0,0,1,1,1,1,8,2148,2,4,2,1
"1302","201001CP00061",1,3,0,14,0,8,0,0,0,0,1,1,15,1,5,-1,-1,-1,7,1
"1303","201001CP00062",1,8,0,18,0,8,0,0,0,0,3,1,1,1,8,1998,1,5,8,1
"1304","201001CP00062",2,1,0,18,0,8,0,0,0,0,3,1,15,1,6,-1,-1,-1,8,1
"1305","201001CP00063",1,20,0,5,0,8,0,0,0,0,4,1,15,1,8,5880,2,7,3,1
"1306","201001CP00063",2,5,0,3,0,8,0,0,0,0,2,1,15,1,7,919,1,5,6,1
"1307","201001CP00064",1,9,0,9,0,8,0,0,0,0,1,1,15,1,7,3311,8,2,7,1
"1308","201001CP00064",2,1,0,18,0,8,0,0,0,0,3,1,15,1,8,-1,-1,-1,4,1
"1309","201001CP00065",1,20,0,9,4,8,0,0,0,0,1,1,15,1,6,-1,-1,-1,5,3
"1310","201001CP00065",2,3,0,18,4,8,0,0,0,0,3,1,15,1,6,124,1,3,5,1
"1311","201001CP00066",1,9,0,3,0,8,0,0,0,0,2,1,2,1,6,2204,2,3,7,1
"1312","201001CP00066",2,19,0,3,0,8,0,0,0,0,2,1,1,1,6,2261,1,2,2,1
"1313","201001CP00066",3,9,0,4,0,8,0,0,0,0,1,1,1,1,8,1998,1,10,2,1
"1314","201001CP00067",1,1,0,16,0,0,0,0,0,0,1,1,15,1,-1,-1,-1,-1,-1,-1
"1315","201001CP00068",1,11,0,18,0,1,0,0,0,0,4,1,1,1,6,7300,2,7,1,1
"1316","201001CP00069",1,11,0,18,0,2,0,0,0,0,3,1,1,1,6,9360,2,1,3,1
"1317","201001CP00070",1,8,0,9,0,5,0,0,0,0,4,1,15,1,7,2402,2,4,7,1
"1318","201001CP00070",2,5,0,18,0,8,0,0,0,0,1,1,15,1,6,798,1,4,2,1
"1319","201001CP00071",1,20,0,2,0,8,0,0,0,0,2,1,1,1,7,-1,-1,-1,-1,-1
